"","Publico.Alvo","Tipo.de.FII","Administrador","ultimo_rendimento_reais","ultimo_rendimento_perc","Data.Pagamento","Data.Base","rend_medio_12m_reais","rend_medio_12m_perc","patrimonio_por_cota","cotacao_por_vp","nro_negocios_por_mes","participacao_IFIX","Numero.Cotistas","Patrimonio","Cota.base","fiis_clust","fiis.k6.cluster"
"IFIE11","Geral","Papel: Fundo de Fundos","Inter DTVM",0.41,0.42,"14/05/2021","30/04/2021",0.24,0.24,87.71,1.11,2314,0,6368,78985256.49,97,1,2
"IRDM11","Geral","Papel: CRIs","BTG Pactual",1.15,0.88,"17/06/2021","10/06/2021",0,0,98.54,1.33,146462,2.72,161996,2167872890.7,131,3,1
"JFLL11","Geral","Tijolo: Outros","Banco Genial",0.62,0.65,"15/06/2021","31/05/2021",0.21,0.22,96.68,0.98,4330,0,1558,145082024.05,94.73,1,2
"JPPA11","Geral","Papel: CRIs","Vórtx DTVM LTDA",1.06,1.06,"09/06/2021","31/05/2021",0.85,0.85,103.75,0.96,815,0,384,62661769.59,100,1,2
"JPPC11","Geral","Tijolo: Desenvolvimento","Banco Finaxis",18.82,0,"15/06/2021","31/05/2021",2.8,0,461.17,0,4,0,79,25364609.24,0,2,2
"JRDM11","Geral","Tijolo: Shoppings","BTG Pactual",0.16,0.23,"15/06/2021","08/06/2021",0.15,0.22,87.51,0.78,2056,0,5492,220785848.59,68.27,2,2
"JSRE11","Geral","Tijolo: Escritórios","Banco J Safra",0.53,0.58,"22/06/2021","31/05/2021",0.56,0.61,113.49,0.81,71054,1.9,44351,2356825185.46,91.47,3,1
"JTPR11","Geral","Tijolo: Desenvolvimento","Planner Corretora de Valores",1.63,0,"28/09/2020","31/08/2020",0.38,0,110.85,0,0,0,9,23796389.95,0,2,2
"KEVE11","Investidor Qualificado","Tijolo: Desenvolvimento","INTRAG DTVM",0,0,"00/00/0000","00/00/0000",0,0,1009.72,0,312,0,383,149136752.3,0,2,2
"KFOF11","Geral","Papel: Fundo de Fundos","INTRAG DTVM",0.55,0.6,"15/06/2021","31/05/2021",0.58,0.62,103.28,0.89,7017,0.42,7010,468185948.21,92.29,1,2
"KINP11","Investidor Qualificado","Tijolo: Desenvolvimento","INTRAG DTVM",0.19,1.39,"15/04/2021","31/03/2021",0.07,0.51,8.72,1.57,200,0,444,62324980.79,13.7,1,2
